Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01371","Almonds, in shell","2024","2024","kg/ha","1741.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2024","2024","t","69315.64","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","kg/ha","704.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","t","17889.49","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01341","Apples","2024","2024","kg/ha","10341.8","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2024","2024","t","333837.85","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01343","Apricots","2024","2024","kg/ha","7249.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2024","2024","t","167698.55","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0115","Barley","2024","2024","kg/ha","1428.6","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2024","2024","t","100000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01701","Beans, dry","2024","2024","kg/ha","1793.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01701","Beans, dry","2024","2024","t","55446.01","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01229","Cantaloupes and other melons","2024","2024","kg/ha","10821.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2024","2024","t","701220.44","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01315","Figs","2024","2024","kg/ha","5314.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01315","Figs","2024","2024","t","59915.72","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01330","Grapes","2024","2024","kg/ha","11822.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","2024","2024","t","1141406.97","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01441","Linseed","2024","2024","kg/ha","840.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01441","Linseed","2024","2024","t","27818.64","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","1925.9","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2024","2024","t","260000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2024","2024","kg/ha","1460.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0118","Millet","2024","2024","t","1646.07","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01442","Mustard seed","2024","2024","kg/ha","1022.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01442","Mustard seed","2024","2024","t","1116.65","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01450","Olives","2024","2024","kg/ha","3617.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01450","Olives","2024","2024","t","7912.03","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2024","2024","kg/ha","17268.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2024","2024","t","614770.81","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01323","Oranges","2024","2024","kg/ha","6268.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01323","Oranges","2024","2024","t","7166.1","I","Value imputed by a receiving agency",""
