Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FO","Forestry Production and Trade","004","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2024","2024","m3","632203","E","Estimated value",""
"FO","Forestry Production and Trade","004","Afghanistan","5516","Production","1628","Wood fuel, non-coniferous","2024","2024","m3","1475032","E","Estimated value",""
"FO","Forestry Production and Trade","004","Afghanistan","5516","Production","1601","Sawlogs and veneer logs, coniferous","2024","2024","m3","820000","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5516","Production","1604","Sawlogs and veneer logs, non-coniferous","2024","2024","m3","36000","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5516","Production","1623","Other industrial roundwood, coniferous (production)","2024","2024","m3","179000","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5516","Production","1626","Other industrial roundwood, non-coniferous (production)","2024","2024","m3","725000","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5510","Production","1630","Wood charcoal","2024","2024","t","165978","E","Estimated value",""
"FO","Forestry Production and Trade","004","Afghanistan","5516","Production","1632","Sawnwood, coniferous","2024","2024","m3","200000","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5516","Production","1633","Sawnwood, non-coniferous","2024","2024","m3","30000","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5516","Production","1634","Veneer sheets","2024","2024","m3","200","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5516","Production","1640","Plywood and LVL","2024","2024","m3","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5516","Production","1697","Particle board","2024","2024","m3","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5516","Production","1627","Wood fuel, coniferous","2024","2024","m3","7067","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5516","Production","1628","Wood fuel, non-coniferous","2024","2024","m3","758982","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5516","Production","1601","Sawlogs and veneer logs, coniferous","2024","2024","m3","84091","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5516","Production","1604","Sawlogs and veneer logs, non-coniferous","2024","2024","m3","38109","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5516","Production","1602","Pulpwood, round and split, coniferous (production)","2024","2024","m3","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5516","Production","1603","Pulpwood, round and split, non-coniferous (production)","2024","2024","m3","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5516","Production","1623","Other industrial roundwood, coniferous (production)","2024","2024","m3","162","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5516","Production","1626","Other industrial roundwood, non-coniferous (production)","2024","2024","m3","141","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5510","Production","1630","Wood charcoal","2024","2024","t","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5516","Production","1619","Wood chips and particles","2024","2024","m3","11184","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5516","Production","1620","Wood residues","2024","2024","m3","7376","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5510","Production","1600","Recovered post-consumer wood","2024","2024","t","0","A","Official figure",""
