Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02132","Asses","2024","2024","An","1530569","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02121.01","Camels","2024","2024","An","165071","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02111","Cattle","2024","2024","An","5555383","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21512","Cattle fat, unrendered","2024","2024","An","467376","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5112","Stocks","02151","Chickens","2024","2024","1000 An","13480","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21151","Edible offal of cattle, fresh, chilled or frozen","2024","2024","An","467376","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21156","Edible offal of goat, fresh, chilled or frozen","2024","2024","An","3657931","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21155","Edible offal of sheep, fresh, chilled or frozen","2024","2024","An","5403129","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2024","2024","An","20273","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21519.02","Fat of camels","2024","2024","An","20273","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21515","Goat fat, unrendered","2024","2024","An","3657931","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02123","Goats","2024","2024","An","8190291","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5313","Laying","0231","Hen eggs in shell, fresh","2024","2024","1000 An","10361","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02131","Horses","2024","2024","An","8262","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21117.01","Meat of camels, fresh or chilled","2024","2024","An","20273","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2024","2024","An","467376","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2024","2024","1000 An","33865","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21116","Meat of goat, fresh or chilled","2024","2024","An","3657931","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","21115","Meat of sheep, fresh or chilled","2024","2024","An","5403129","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02133","Mules and hinnies","2024","2024","An","23784","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","02951.01","Raw hides and skins of cattle","2024","2024","An","467376","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","02954","Raw hides and skins of goats or kids","2024","2024","An","3657931","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","004","Afghanistan","5320","Producing Animals/Slaughtered","02953","Raw hides and skins of sheep or lambs","2024","2024","An","5403129","I","Value imputed by a receiving agency",""
