Country (Name),ASFIS species (Name),FAO major fishing area (Name),Environment (Name),Unit (Name),Unit,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S,[2023],S,[2024],S
Afghanistan,Cyprinids NEI,Asia - Inland waters,Freshwater,Value (USD 1000),USD (1000),225,I,225,I,225,I,225,I,225,I,225,I,600,I,600,I,600,I,600,I,600,I,600,I,600,I,750,I,750,I,750,I,750,I,1000,I,1000,I,1000,I,1000,I,1014.6,I,1201.82,I,2702.07,I,2687.41,I,4481.66,I,6781.13,I,8984.53,I,10777.39,I,11730.4,I,13163.89,I,14130.7,I,14381.26,I,16346.47,I,17601.87,I,19887.58,I,24485.27,I,28648.58,I,30896.11,I,34800,I,36300,I
Afghanistan,Rainbow trout,Asia - Inland waters,Freshwater,Value (USD 1000),USD (1000),60,I,60,I,60,I,60,I,60,I,60,I,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,200,I,200,I,200,I,200,I,211.38,I,250.38,I,750.58,I,746.5,I,746.94,I,807.28,I,267.4,I,294.57,I,316.01,I,349.36,I,367.99,I,368.37,I,367.5,I,138.73,I,308.73,I,364.52,I,362.41,I,473.18,I,420,I,490,I
Albania,Atlantic bluefin tuna,Mediterranean and Black Sea,Marine,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,693.83,I,920.66,I,0,...
Albania,Bighead carp,Europe - Inland waters,Freshwater,Value (USD 1000),USD (1000),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Albania,Common carp,Europe - Inland waters,Freshwater,Value (USD 1000),USD (1000),25,,50,,120,,105,,88.26,,146.16,,91.2,I,34.5,I,20.8,I,20.8,I,23.1,I,51,I,67.5,I,8,,10.76,,4.36,,4.18,,6.27,,8.56,,15.8,,23.35,,19.23,,30.6,,38.8,,354.65,,25.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Albania,Crucian carp,Europe - Inland waters,Freshwater,Value (USD 1000),USD (1000),25,,25,,30,,12.5,,1.78,,9.1,,7,I,3.2,I,1.7,I,3.3,I,1.7,I,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Albania,European seabass,Mediterranean and Black Sea,Marine,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,443.7,I,512.14,I,1105.87,I,996.03,I,909.21,I,1179.43,I,2218.44,,3406.86,,3981.8,,3334.35,,3866.52,,5037.78,,4630.09,,4642.66,,13230.56,,13085.88,,13916.99,,12246.95,I,11407.5,I
Albania,Freshwater fishes NEI,Europe - Inland waters,Freshwater,Value (USD 1000),USD (1000),2.5,,15,,75,,50,,11.74,,0.9,,1,I,1.1,I,1.2,I,1.2,I,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...
Albania,Gilthead seabream,Mediterranean and Black Sea,Marine,Value (USD 1000),USD (1000),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,278.76,,570.82,,823,,1556.72,,1001.3,,1509.6,,2005.34,,2260.27,,2339.88,,2695.87,,2415.86,,8873.76,,9084.96,,9101.25,,8574.04,,9183,,12090.68,,10649.22,,11151.49,,19843.53,,20145.29,,21675.55,,36629.8,I,38909.35,I
Albania,Grass carp(=White amur),Europe - Inland waters,Freshwater,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,9.17,,8.4,I,3,I,1.6,I,1.6,I,1.6,I,0,N,0,N,0,N,0,N,2.18,,2.09,,4.18,,4.28,,7.65,,17.51,,9.31,,18.36,,19.4,,335.48,,295.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...
