DOI,Название статьи,Аннотация,Начало эксперимента,Конец эксперимента,Геопозиция (страна и город с вшитыми координатами),Площадь прототипа (м^2),Коэффициент эквивалентности земли по биомассе,Коэффициент эквивалентности земли по урожайности,Открытость участка,Гигрометрия почвы,Неоднородность почвы,Культура,Расстояние между рядами посадки (м),Покрытие поверхности земли по вертикали,Тип СБ,Ориентация СБ (гр. на юг),Угол наклона СБ (гр.),Шаг между СБ (м),Высота над землей (м),Расстояние между рядами (м),ФАР (отн. нормальной),Горизонтальное глобальное облучение (кВт*ч/м^2/год),Горизонтальное глобальное облучение (кВт*ч/м^2/день),Эффективное глобальное облучение (кВт*ч/м^2/год) - на плоскости коллектора,Падающее глобальное облучение (кВт*ч/м^2),Удельная производительность (Вт/м^2),Полная производительность (кВт),Годовая выработка электроэнергии (кВт*ч/год),Удельная выработка электроэнергии (кВт*ч/(кВт(пик)*год),Сухое вещество,Урожайность,Снижение эвапотранспирации,Изменение влажности почвы,Изменение температуры почвы (гр.),Изменение температуры воздуха (гр.),Примечание,Article Title,Abstract,Beginning of the experiment,End of the experiment,Geolocation (country and city with embedded coordinates),Total_Land_Area_ha,Land_Use_Type,Forestry_to_Agriculture_Ratio,Woody_Species,Woody_Biomass_Yield_tDM_ha,Woody_Relative_Yield_vs_Monoculture_%,Agricultural_Crop,Crop_Yield_tDM_ha,Crop_Relative_Yield_vs_Monoculture_%,PV_System_Type,PV_Power_Density_kWp_ha,PV_Electricity_Yield_kWh_kWp,LCOE_ct_kWh,Tilt_Angle_deg,Orientation,Height_Above_Ground_m,Row_Spacing_m,Shading_Rate_%,Land_Loss_due_to_PV_%,Relative_Field_Yield_RFY_%,Biomass_Cost_EUR_tDM,Land_Equivalent_Ratio_LER,Optimal_Solution_Found,Cost_Reduction_Threshold_for_Competitiveness_%,Yield_Increase_Threshold_for_Competitiveness_%,Biodiversity_Impact,Soil_Protection_Benefit,Non_Monetized_Benefits,Notes,Water body type,Water surface area (m^2),Aquatic organism,Aquaculture production (t/ha),PV model,PV installation type,PV power (kWp),Tilt angle (deg),Azimuth angle (deg),Height above water (m),Coverage ratio,PV area (m^2),PV density (kWp/ha),GHI (kWh/(m2_year)),Specific yield (kWh/kWp),Annual energy output (MWh),Performance Gain vs Land,Water evaporation reduction,Water quality monitoring,Shading impact on organism,Types of energy use,LER_Food_Energy
10.1016/j.renene.2011.03.005,Combining solar photovoltaic panels and food crops for optimising land use: Towards new agrivoltaic schemes,"The need for new sources of renewable energies and the rising price of fossil fuels have induced the hope that agricultural crops may be a source of renewable energy for the future. We question in this paper the best strategies to convert solar radiation into both energy and food. The intrinsic efficiency of the photosynthetic process is quite low (around 3%) while commercially available monocristalline solar photovoltaic (PV) panels have an average yield of 15%. Therefore huge arrays of solar panels are now envisaged. Solar plants using PV panels will therefore compete with agriculture for land. In this paper, we suggest that a combination of solar panels and food crops on the same land unit may maximise the land use. We suggest to call this an agrivoltaic system. We used Land Equivalent Ratios to compare conventional options (separation of agriculture and energy harvesting) and two agrivoltaic systems with different densities of PV panels. We modelled the light transmission at the crop level by an array of solar panels and used a crop model to predict the productivity of the partially shaded crops. These preliminary results indicate that agrivoltaic systems may be very efficient: a 35–73% increase of global land productivity was predicted for the two densities of PV panels. Facilitation mechanisms similar to those evidenced in agroforestry systems may explain the advantage of such mixed systems. New solar plants may therefore combine electricity production with food production, especially in countries where cropping land is scarce. There is a need to validate the hypotheses included in our models and provide a proof of the concept by monitoring prototypes of agrivoltaic systems.",01.03.2010,01.03.2013,Монпелье,820,"1,64","1,73",Открытый грунт,Равномерное орошение,Низкая,Пшеница,,59%,JT185Wc,14.0,25,"1,64",4,"6,4",43%,,,,,72,"59,04",,,64%,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.renene.2011.03.006,Combining solar photovoltaic panels and food crops for optimising land use: Towards new agrivoltaic schemes,"The need for new sources of renewable energies and the rising price of fossil fuels have induced the hope that agricultural crops may be a source of renewable energy for the future. We question in this paper the best strategies to convert solar radiation into both energy and food. The intrinsic efficiency of the photosynthetic process is quite low (around 3%) while commercially available monocristalline solar photovoltaic (PV) panels have an average yield of 15%. Therefore huge arrays of solar panels are now envisaged. Solar plants using PV panels will therefore compete with agriculture for land. In this paper, we suggest that a combination of solar panels and food crops on the same land unit may maximise the land use. We suggest to call this an agrivoltaic system. We used Land Equivalent Ratios to compare conventional options (separation of agriculture and energy harvesting) and two agrivoltaic systems with different densities of PV panels. We modelled the light transmission at the crop level by an array of solar panels and used a crop model to predict the productivity of the partially shaded crops. These preliminary results indicate that agrivoltaic systems may be very efficient: a 35–73% increase of global land productivity was predicted for the two densities of PV panels. Facilitation mechanisms similar to those evidenced in agroforestry systems may explain the advantage of such mixed systems. New solar plants may therefore combine electricity production with food production, especially in countries where cropping land is scarce. There is a need to validate the hypotheses included in our models and provide a proof of the concept by monitoring prototypes of agrivoltaic systems.",01.03.2010,01.03.2013,Монпелье,820,"1,32","1,35",Открытый грунт,Равномерное орошение,Низкая,Пшеница,,"29,5%",JT185Wc,14.0,25,"3,28",4,"6,4",71%,,,,,36,"29,52",,,80%,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.eja.2012.08.003,Productivity and radiation use efficiency of lettuces grown in the partial shade of photovoltaic panels,"Combining photovoltaic panels (PVPs) and crops on the same land unit were recently proposed as an alternative to the conversion of cropland into photovoltaic plants. This could alleviate the increasing competition for land between food and energy production. In such agrivoltaic systems, an upper layer of PVPs partially shades crops at ground level. The aim of this work was to (i) assess the effect on crop yield of two PVPs densities, resulting in two shade levels equal to 50% and 70% of the incoming radiation and (ii) identify morphological and physiological determinants of the plant response to shade. Experiments were conducted on four varieties of lettuces (two crisphead lettuces and two cutting lettuces), during two seasons. In all cases, the relative lettuce yield at harvest was equal or higher than the available relative radiation. Lettuce yield was maintained through an improved Radiation Interception Efficiency (RIE) in the shade, while Radiation Conversion Efficiency (RCE) did not change significantly. Enhanced RIE was explained by (i) an increase in the total leaf area per plant, despite a decrease in the number of leaves and (ii) a different distribution of leaf area among the pool of leaves, the maximal size of leaves increasing in the shade. Our result provides a framework for the selection of adapted varieties according to their morphological traits and physiological responses to PVP shade, in order to optimize agrivoltaic systems.",22.07.2010,07.09.2011,Монпелье,200,,,Открытый грунт,Равномерное орошение,Низкая,Салат-латук,"0,33",59%,JT185Wc,14.0,25,"1,6",4,"6,4",53%,,,,,72,"14,4",,,58%,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.eja.2012.08.003,Productivity and radiation use efficiency of lettuces grown in the partial shade of photovoltaic panels,"Combining photovoltaic panels (PVPs) and crops on the same land unit were recently proposed as an alternative to the conversion of cropland into photovoltaic plants. This could alleviate the increasing competition for land between food and energy production. In such agrivoltaic systems, an upper layer of PVPs partially shades crops at ground level. The aim of this work was to (i) assess the effect on crop yield of two PVPs densities, resulting in two shade levels equal to 50% and 70% of the incoming radiation and (ii) identify morphological and physiological determinants of the plant response to shade. Experiments were conducted on four varieties of lettuces (two crisphead lettuces and two cutting lettuces), during two seasons. In all cases, the relative lettuce yield at harvest was equal or higher than the available relative radiation. Lettuce yield was maintained through an improved Radiation Interception Efficiency (RIE) in the shade, while Radiation Conversion Efficiency (RCE) did not change significantly. Enhanced RIE was explained by (i) an increase in the total leaf area per plant, despite a decrease in the number of leaves and (ii) a different distribution of leaf area among the pool of leaves, the maximal size of leaves increasing in the shade. Our result provides a framework for the selection of adapted varieties according to their morphological traits and physiological responses to PVP shade, in order to optimize agrivoltaic systems.",23.03.2011,25.05.2011,Монпелье,200,,,Открытый грунт,Равномерное орошение,Низкая,Салат-латук,"0,33",59%,JT185Wc,14.0,25,"1,6",4,"6,4",53%,,,,,72,"14,4",,,79%,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.eja.2012.08.003,Productivity and radiation use efficiency of lettuces grown in the partial shade of photovoltaic panels,"Combining photovoltaic panels (PVPs) and crops on the same land unit were recently proposed as an alternative to the conversion of cropland into photovoltaic plants. This could alleviate the increasing competition for land between food and energy production. In such agrivoltaic systems, an upper layer of PVPs partially shades crops at ground level. The aim of this work was to (i) assess the effect on crop yield of two PVPs densities, resulting in two shade levels equal to 50% and 70% of the incoming radiation and (ii) identify morphological and physiological determinants of the plant response to shade. Experiments were conducted on four varieties of lettuces (two crisphead lettuces and two cutting lettuces), during two seasons. In all cases, the relative lettuce yield at harvest was equal or higher than the available relative radiation. Lettuce yield was maintained through an improved Radiation Interception Efficiency (RIE) in the shade, while Radiation Conversion Efficiency (RCE) did not change significantly. Enhanced RIE was explained by (i) an increase in the total leaf area per plant, despite a decrease in the number of leaves and (ii) a different distribution of leaf area among the pool of leaves, the maximal size of leaves increasing in the shade. Our result provides a framework for the selection of adapted varieties according to their morphological traits and physiological responses to PVP shade, in order to optimize agrivoltaic systems.",22.07.2010,07.09.2011,Монпелье,200,,,Открытый грунт,Равномерное орошение,Низкая,Салат-латук,"0,33","29,5%",JT185Wc,14.0,25,"3,2",4,"6,4",68%,,,,,36,"7,2",,,81%,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.eja.2012.08.003,Productivity and radiation use efficiency of lettuces grown in the partial shade of photovoltaic panels,"Combining photovoltaic panels (PVPs) and crops on the same land unit were recently proposed as an alternative to the conversion of cropland into photovoltaic plants. This could alleviate the increasing competition for land between food and energy production. In such agrivoltaic systems, an upper layer of PVPs partially shades crops at ground level. The aim of this work was to (i) assess the effect on crop yield of two PVPs densities, resulting in two shade levels equal to 50% and 70% of the incoming radiation and (ii) identify morphological and physiological determinants of the plant response to shade. Experiments were conducted on four varieties of lettuces (two crisphead lettuces and two cutting lettuces), during two seasons. In all cases, the relative lettuce yield at harvest was equal or higher than the available relative radiation. Lettuce yield was maintained through an improved Radiation Interception Efficiency (RIE) in the shade, while Radiation Conversion Efficiency (RCE) did not change significantly. Enhanced RIE was explained by (i) an increase in the total leaf area per plant, despite a decrease in the number of leaves and (ii) a different distribution of leaf area among the pool of leaves, the maximal size of leaves increasing in the shade. Our result provides a framework for the selection of adapted varieties according to their morphological traits and physiological responses to PVP shade, in order to optimize agrivoltaic systems.",23.03.2011,25.05.2011,Монпелье,200,,,Открытый грунт,Равномерное орошение,Низкая,Салат-латук,"0,33","29,5%",JT185Wc,14.0,25,"3,2",4,"6,4",73%,,,,,36,"7,2",,,99%,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.rser.2015.10.024,The Potential of Agrivoltaic Systems,"In order to meet global energy demands with clean renewable energy such as with solar photovoltaic (PV) systems, large surface areas are needed because of the relatively diffuse nature of solar energy. Much of this demand can be matched with aggressive building integrated PV and rooftop PV, but the remainder can be met with land-based PV farms. Using large tracts of land for solar farms will increase competition for land resources as food production demand and energy demand are both growing and vie for the limited land resources. This land competition is exacerbated by the increasing population. These coupled land challenges can be ameliorated using the concept of agrivoltaics or co-developing the same area of land for both solar PV power as well as for conventional agriculture. In this paper, the agrivoltaic experiments to date are reviewed and summarized. A coupled simulation model is developed for both PV production (PVSyst) and agricultural production (Simulateur mulTIdisciplinaire les Cultures Standard (STICS) crop model), to gauge the technical potential of scaling agrivoltaic systems. The results showed that the value of solar generated electricity coupled to shade-tolerant crop production created an over 30% increase in economic value from farms deploying agrivoltaic systems instead of conventional agriculture. Utilizing shade tolerant crops enables crop yield losses to be minimized and thus maintain crop price stability. In addition, this dual use of agricultural land can have a significant effect on national PV production. The results showed an increase in PV power between over 40 and 70 GW if lettuce cultivation alone is converted to agrivoltaic systems in the U.S. It is clear, further work is warranted in this area and that the outputs for different crops and geographic areas should be explored to ascertain the potential of agrivoltaic farming throughout the globe.",,,Канзас Сити,,"1,65","1,65",Открытый грунт,,,Салат-латук,,,TSM300P14A,0.0,25,,1,6,0%,"1559,5",,"1713,6","1782,8",42,,22829,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.rser.2015.10.024,The Potential of Agrivoltaic Systems,"In order to meet global energy demands with clean renewable energy such as with solar photovoltaic (PV) systems, large surface areas are needed because of the relatively diffuse nature of solar energy. Much of this demand can be matched with aggressive building integrated PV and rooftop PV, but the remainder can be met with land-based PV farms. Using large tracts of land for solar farms will increase competition for land resources as food production demand and energy demand are both growing and vie for the limited land resources. This land competition is exacerbated by the increasing population. These coupled land challenges can be ameliorated using the concept of agrivoltaics or co-developing the same area of land for both solar PV power as well as for conventional agriculture. In this paper, the agrivoltaic experiments to date are reviewed and summarized. A coupled simulation model is developed for both PV production (PVSyst) and agricultural production (Simulateur mulTIdisciplinaire les Cultures Standard (STICS) crop model), to gauge the technical potential of scaling agrivoltaic systems. The results showed that the value of solar generated electricity coupled to shade-tolerant crop production created an over 30% increase in economic value from farms deploying agrivoltaic systems instead of conventional agriculture. Utilizing shade tolerant crops enables crop yield losses to be minimized and thus maintain crop price stability. In addition, this dual use of agricultural land can have a significant effect on national PV production. The results showed an increase in PV power between over 40 and 70 GW if lettuce cultivation alone is converted to agrivoltaic systems in the U.S. It is clear, further work is warranted in this area and that the outputs for different crops and geographic areas should be explored to ascertain the potential of agrivoltaic farming throughout the globe.",,,Канзас Сити,,"1,65","1,65",Открытый грунт,,,Салат-латук,,,TSM300P14A,0.0,25,,4,"3,2",,"1559,5",,"1707,9","1782,8",72,,22756,,58%,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.rser.2015.10.024,The Potential of Agrivoltaic Systems,"In order to meet global energy demands with clean renewable energy such as with solar photovoltaic (PV) systems, large surface areas are needed because of the relatively diffuse nature of solar energy. Much of this demand can be matched with aggressive building integrated PV and rooftop PV, but the remainder can be met with land-based PV farms. Using large tracts of land for solar farms will increase competition for land resources as food production demand and energy demand are both growing and vie for the limited land resources. This land competition is exacerbated by the increasing population. These coupled land challenges can be ameliorated using the concept of agrivoltaics or co-developing the same area of land for both solar PV power as well as for conventional agriculture. In this paper, the agrivoltaic experiments to date are reviewed and summarized. A coupled simulation model is developed for both PV production (PVSyst) and agricultural production (Simulateur mulTIdisciplinaire les Cultures Standard (STICS) crop model), to gauge the technical potential of scaling agrivoltaic systems. The results showed that the value of solar generated electricity coupled to shade-tolerant crop production created an over 30% increase in economic value from farms deploying agrivoltaic systems instead of conventional agriculture. Utilizing shade tolerant crops enables crop yield losses to be minimized and thus maintain crop price stability. In addition, this dual use of agricultural land can have a significant effect on national PV production. The results showed an increase in PV power between over 40 and 70 GW if lettuce cultivation alone is converted to agrivoltaic systems in the U.S. It is clear, further work is warranted in this area and that the outputs for different crops and geographic areas should be explored to ascertain the potential of agrivoltaic farming throughout the globe.",,,Канзас Сити,,"1,65","1,65",Открытый грунт,,,Салат-латук,,,TSM300P14A,0.0,25,,4,"6,4",,"1559,5",,"1718,7","1782,8",39,,13477,,81%,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.rser.2015.10.024,The Potential of Agrivoltaic Systems,"In order to meet global energy demands with clean renewable energy such as with solar photovoltaic (PV) systems, large surface areas are needed because of the relatively diffuse nature of solar energy. Much of this demand can be matched with aggressive building integrated PV and rooftop PV, but the remainder can be met with land-based PV farms. Using large tracts of land for solar farms will increase competition for land resources as food production demand and energy demand are both growing and vie for the limited land resources. This land competition is exacerbated by the increasing population. These coupled land challenges can be ameliorated using the concept of agrivoltaics or co-developing the same area of land for both solar PV power as well as for conventional agriculture. In this paper, the agrivoltaic experiments to date are reviewed and summarized. A coupled simulation model is developed for both PV production (PVSyst) and agricultural production (Simulateur mulTIdisciplinaire les Cultures Standard (STICS) crop model), to gauge the technical potential of scaling agrivoltaic systems. The results showed that the value of solar generated electricity coupled to shade-tolerant crop production created an over 30% increase in economic value from farms deploying agrivoltaic systems instead of conventional agriculture. Utilizing shade tolerant crops enables crop yield losses to be minimized and thus maintain crop price stability. In addition, this dual use of agricultural land can have a significant effect on national PV production. The results showed an increase in PV power between over 40 and 70 GW if lettuce cultivation alone is converted to agrivoltaic systems in the U.S. It is clear, further work is warranted in this area and that the outputs for different crops and geographic areas should be explored to ascertain the potential of agrivoltaic farming throughout the globe.",,,Канзас Сити,,"1,65","1,65",Открытый грунт,,,Салат-латук,,,TSM300P14A,0.0,25,,4,"3,2",,"1559,5",,"1707,9","1782,8",72,,22756,,79%,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
