Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1628","Wood fuel, non-coniferous","2024","2024","1000 USD","62","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1651","Industrial roundwood, coniferous (export/import)","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1651","Industrial roundwood, coniferous (export/import)","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1657","Industrial roundwood, non-coniferous tropical (export/import)","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1657","Industrial roundwood, non-coniferous tropical (export/import)","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1670","Industrial roundwood, non-coniferous non-tropical (export/import)","2024","2024","1000 USD","55","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1670","Industrial roundwood, non-coniferous non-tropical (export/import)","2024","2024","1000 USD","5","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1630","Wood charcoal","2024","2024","1000 USD","3","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1630","Wood charcoal","2024","2024","1000 USD","14","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1619","Wood chips and particles","2024","2024","1000 USD","6","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1619","Wood chips and particles","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1620","Wood residues","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1620","Wood residues","2024","2024","1000 USD","3","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1605","Sawdust (export/import)","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1632","Sawnwood, coniferous","2024","2024","1000 USD","16079","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1632","Sawnwood, coniferous","2024","2024","1000 USD","61","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1633","Sawnwood, non-coniferous","2024","2024","1000 USD","36","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1633","Sawnwood, non-coniferous","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1634","Veneer sheets","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1634","Veneer sheets","2024","2024","1000 USD","1","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1640","Plywood and LVL","2024","2024","1000 USD","873","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1640","Plywood and LVL","2024","2024","1000 USD","4","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1697","Particle board","2024","2024","1000 USD","6279","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1697","Particle board","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1606","Oriented strand board (OSB)","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1647","Hardboard","2024","2024","1000 USD","403","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1648","Medium/high density fibreboard (MDF/HDF)","2024","2024","1000 USD","13363","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1648","Medium/high density fibreboard (MDF/HDF)","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1650","Other fibreboard","2024","2024","1000 USD","21662","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1650","Other fibreboard","2024","2024","1000 USD","1","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1656","Chemical wood pulp","2024","2024","1000 USD","4069","E","Estimated value",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1656","Chemical wood pulp","2024","2024","1000 USD","0","E","Estimated value",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1662","Chemical wood pulp, sulphate, unbleached","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1663","Chemical wood pulp, sulphate, bleached","2024","2024","1000 USD","3864","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1686","Chemical wood pulp, sulphite","2024","2024","1000 USD","205","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1686","Chemical wood pulp, sulphite","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1667","Dissolving wood pulp","2024","2024","1000 USD","17","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1667","Dissolving wood pulp","2024","2024","1000 USD","7","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1668","Pulp from fibres other than wood","2024","2024","1000 USD","15","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1609","Recovered fibre pulp (export/import)","2024","2024","1000 USD","8","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1669","Recovered paper","2024","2024","1000 USD","536","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1669","Recovered paper","2024","2024","1000 USD","62","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1671","Newsprint","2024","2024","1000 USD","12","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1671","Newsprint","2024","2024","1000 USD","19","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1674","Printing and writing papers","2024","2024","1000 USD","1828","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1674","Printing and writing papers","2024","2024","1000 USD","1","E","Estimated value",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1612","Printing and writing papers, uncoated, mechanical","2024","2024","1000 USD","36","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1612","Printing and writing papers, uncoated, mechanical","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1615","Printing and writing papers, uncoated, woodfree","2024","2024","1000 USD","1689","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1615","Printing and writing papers, uncoated, woodfree","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1616","Printing and writing papers, coated","2024","2024","1000 USD","103","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1616","Printing and writing papers, coated","2024","2024","1000 USD","1","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1675","Other paper and paperboard","2024","2024","1000 USD","15287","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1675","Other paper and paperboard","2024","2024","1000 USD","30","E","Estimated value",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1676","Household and sanitary papers","2024","2024","1000 USD","2001","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1676","Household and sanitary papers","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1617","Case materials","2024","2024","1000 USD","2641","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1617","Case materials","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1618","Cartonboard","2024","2024","1000 USD","9717","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1618","Cartonboard","2024","2024","1000 USD","14","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1621","Wrapping papers","2024","2024","1000 USD","921","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1621","Wrapping papers","2024","2024","1000 USD","14","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1622","Other papers mainly for packaging","2024","2024","1000 USD","3","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1622","Other papers mainly for packaging","2024","2024","1000 USD","2","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1683","Other paper and paperboard, not elsewhere specified","2024","2024","1000 USD","4","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1683","Other paper and paperboard, not elsewhere specified","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1643","Further processed sawnwood, coniferous (export/import)","2024","2024","1000 USD","15","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1643","Further processed sawnwood, coniferous (export/import)","2024","2024","1000 USD","66","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1644","Further processed sawnwood, non-coniferous (export/import)","2024","2024","1000 USD","50","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1644","Further processed sawnwood, non-coniferous (export/import)","2024","2024","1000 USD","1","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1652","Wooden wrapping and packaging material (export/import)","2024","2024","1000 USD","73","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1652","Wooden wrapping and packaging material (export/import)","2024","2024","1000 USD","16","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1691","Wood products for domestic/decorative use (export/import)","2024","2024","1000 USD","10","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1691","Wood products for domestic/decorative use (export/import)","2024","2024","1000 USD","10","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1653","Builder's joinery and carpentry of wood (export/import)","2024","2024","1000 USD","213","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1653","Builder's joinery and carpentry of wood (export/import)","2024","2024","1000 USD","55","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1658","Wooden furniture (export/import)","2024","2024","1000 USD","293","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1658","Wooden furniture (export/import)","2024","2024","1000 USD","213","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1664","Prefabricated buildings of wood (export/import)","2024","2024","1000 USD","2","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1692","Other manufactured wood products (export/import)","2024","2024","1000 USD","227","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1692","Other manufactured wood products (export/import)","2024","2024","1000 USD","5","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1665","Composite paper and paperboard (export/import)","2024","2024","1000 USD","81","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1666","Special coated paper and pulp products (export/import)","2024","2024","1000 USD","542","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1666","Special coated paper and pulp products (export/import)","2024","2024","1000 USD","0","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1673","Household and sanitary paper, ready for use (export/import)","2024","2024","1000 USD","699","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1673","Household and sanitary paper, ready for use (export/import)","2024","2024","1000 USD","3","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1677","Packaging cartons, boxes etc. (export/import)","2024","2024","1000 USD","2634","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1677","Packaging cartons, boxes etc. (export/import)","2024","2024","1000 USD","61","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5622","Import value","1678","Other articles of paper and paperboard, ready for use (export/import)","2024","2024","1000 USD","8259","X","Figure from external organization",""
"FO","Forestry Production and Trade","004","Afghanistan","5922","Export value","1678","Other articles of paper and paperboard, ready for use (export/import)","2024","2024","1000 USD","88","X","Figure from external organization",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1627","Wood fuel, coniferous","2024","2024","1000 USD","342","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1627","Wood fuel, coniferous","2024","2024","1000 USD","86","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1628","Wood fuel, non-coniferous","2024","2024","1000 USD","2229","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1628","Wood fuel, non-coniferous","2024","2024","1000 USD","994","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1651","Industrial roundwood, coniferous (export/import)","2024","2024","1000 USD","1300","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1651","Industrial roundwood, coniferous (export/import)","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1657","Industrial roundwood, non-coniferous tropical (export/import)","2024","2024","1000 USD","290","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1657","Industrial roundwood, non-coniferous tropical (export/import)","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1670","Industrial roundwood, non-coniferous non-tropical (export/import)","2024","2024","1000 USD","639","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1670","Industrial roundwood, non-coniferous non-tropical (export/import)","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1630","Wood charcoal","2024","2024","1000 USD","867","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1630","Wood charcoal","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1619","Wood chips and particles","2024","2024","1000 USD","40","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1619","Wood chips and particles","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1620","Wood residues","2024","2024","1000 USD","4","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1620","Wood residues","2024","2024","1000 USD","2","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1605","Sawdust (export/import)","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1605","Sawdust (export/import)","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1600","Recovered post-consumer wood","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1600","Recovered post-consumer wood","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1693","Wood pellets","2024","2024","1000 USD","688","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1693","Wood pellets","2024","2024","1000 USD","1272","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1694","Wood briquettes and other agglomerates","2024","2024","1000 USD","13","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1694","Wood briquettes and other agglomerates","2024","2024","1000 USD","216","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1632","Sawnwood, coniferous","2024","2024","1000 USD","17231","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1632","Sawnwood, coniferous","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1633","Sawnwood, non-coniferous","2024","2024","1000 USD","4986","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1633","Sawnwood, non-coniferous","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1634","Veneer sheets","2024","2024","1000 USD","823","X","Figure from external organization",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1634","Veneer sheets","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1640","Plywood and LVL","2024","2024","1000 USD","5457","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1640","Plywood and LVL","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1697","Particle board","2024","2024","1000 USD","26277","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1697","Particle board","2024","2024","1000 USD","9","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1606","Oriented strand board (OSB)","2024","2024","1000 USD","2178","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1606","Oriented strand board (OSB)","2024","2024","1000 USD","13","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1647","Hardboard","2024","2024","1000 USD","7436","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1647","Hardboard","2024","2024","1000 USD","44","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1648","Medium/high density fibreboard (MDF/HDF)","2024","2024","1000 USD","5748","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1648","Medium/high density fibreboard (MDF/HDF)","2024","2024","1000 USD","408","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1650","Other fibreboard","2024","2024","1000 USD","3764","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1650","Other fibreboard","2024","2024","1000 USD","11","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1685","Mechanical and semi-chemical wood pulp","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1685","Mechanical and semi-chemical wood pulp","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1656","Chemical wood pulp","2024","2024","1000 USD","77","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1656","Chemical wood pulp","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1662","Chemical wood pulp, sulphate, unbleached","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1662","Chemical wood pulp, sulphate, unbleached","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1663","Chemical wood pulp, sulphate, bleached","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1663","Chemical wood pulp, sulphate, bleached","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1686","Chemical wood pulp, sulphite","2024","2024","1000 USD","77","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1686","Chemical wood pulp, sulphite","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1667","Dissolving wood pulp","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1667","Dissolving wood pulp","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1668","Pulp from fibres other than wood","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1668","Pulp from fibres other than wood","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1609","Recovered fibre pulp (export/import)","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1609","Recovered fibre pulp (export/import)","2024","2024","1000 USD","0","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1669","Recovered paper","2024","2024","1000 USD","4","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1669","Recovered paper","2024","2024","1000 USD","134","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1671","Newsprint","2024","2024","1000 USD","365","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1671","Newsprint","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1674","Printing and writing papers","2024","2024","1000 USD","14628","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1674","Printing and writing papers","2024","2024","1000 USD","517","E","Estimated value",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1612","Printing and writing papers, uncoated, mechanical","2024","2024","1000 USD","6493","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1612","Printing and writing papers, uncoated, mechanical","2024","2024","1000 USD","16","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1615","Printing and writing papers, uncoated, woodfree","2024","2024","1000 USD","4547","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1615","Printing and writing papers, uncoated, woodfree","2024","2024","1000 USD","188","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1616","Printing and writing papers, coated","2024","2024","1000 USD","3588","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1616","Printing and writing papers, coated","2024","2024","1000 USD","313","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1675","Other paper and paperboard","2024","2024","1000 USD","33288","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1675","Other paper and paperboard","2024","2024","1000 USD","1700","E","Estimated value",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1676","Household and sanitary papers","2024","2024","1000 USD","18145","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1676","Household and sanitary papers","2024","2024","1000 USD","12","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1617","Case materials","2024","2024","1000 USD","808","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1617","Case materials","2024","2024","1000 USD","7","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1618","Cartonboard","2024","2024","1000 USD","5606","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1618","Cartonboard","2024","2024","1000 USD","631","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1621","Wrapping papers","2024","2024","1000 USD","6694","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1621","Wrapping papers","2024","2024","1000 USD","12","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1622","Other papers mainly for packaging","2024","2024","1000 USD","1985","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1622","Other papers mainly for packaging","2024","2024","1000 USD","98","X","Figure from external organization",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1683","Other paper and paperboard, not elsewhere specified","2024","2024","1000 USD","50","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1683","Other paper and paperboard, not elsewhere specified","2024","2024","1000 USD","940","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1643","Further processed sawnwood, coniferous (export/import)","2024","2024","1000 USD","680","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1643","Further processed sawnwood, coniferous (export/import)","2024","2024","1000 USD","0","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1644","Further processed sawnwood, non-coniferous (export/import)","2024","2024","1000 USD","1514","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1644","Further processed sawnwood, non-coniferous (export/import)","2024","2024","1000 USD","234","I","Value imputed by a receiving agency",""
"FO","Forestry Production and Trade","008","Albania","5622","Import value","1652","Wooden wrapping and packaging material (export/import)","2024","2024","1000 USD","3298","A","Official figure",""
"FO","Forestry Production and Trade","008","Albania","5922","Export value","1652","Wooden wrapping and packaging material (export/import)","2024","2024","1000 USD","0","A","Official figure",""
