region,category,product,price,unit
Белгородская область,Молочное животноводство,Молоко,45.0,руб/л
Белгородская область,Молочное животноводство,Козье молоко,85.0,руб/л
Белгородская область,Мясное животноводство,Говядина,420.0,руб/кг
Белгородская область,Мясное животноводство,Свинина,290.0,руб/кг
Белгородская область,Птицеводство,Мясо птицы,220.0,руб/кг
Белгородская область,Овцеводство,Баранина,650.0,руб/кг
Белгородская область,Птицеводство,Яйца,9.0,руб/шт
Белгородская область,Пчеловодство,Мёд,450.0,руб/кг
Брянская область,Молочное животноводство,Молоко,45.0,руб/л
Брянская область,Молочное животноводство,Козье молоко,85.0,руб/л
Брянская область,Мясное животноводство,Говядина,420.0,руб/кг
Брянская область,Мясное животноводство,Свинина,290.0,руб/кг
Брянская область,Птицеводство,Мясо птицы,220.0,руб/кг
Брянская область,Овцеводство,Баранина,650.0,руб/кг
Брянская область,Птицеводство,Яйца,9.0,руб/шт
Брянская область,Пчеловодство,Мёд,450.0,руб/кг
Владимирская область,Молочное животноводство,Молоко,45.0,руб/л
Владимирская область,Молочное животноводство,Козье молоко,85.0,руб/л
Владимирская область,Мясное животноводство,Говядина,420.0,руб/кг
Владимирская область,Мясное животноводство,Свинина,290.0,руб/кг
Владимирская область,Птицеводство,Мясо птицы,220.0,руб/кг
Владимирская область,Овцеводство,Баранина,650.0,руб/кг
Владимирская область,Птицеводство,Яйца,9.0,руб/шт
Владимирская область,Пчеловодство,Мёд,450.0,руб/кг
Воронежская область,Молочное животноводство,Молоко,45.0,руб/л
Воронежская область,Молочное животноводство,Козье молоко,85.0,руб/л
Воронежская область,Мясное животноводство,Говядина,420.0,руб/кг
Воронежская область,Мясное животноводство,Свинина,290.0,руб/кг
Воронежская область,Птицеводство,Мясо птицы,220.0,руб/кг
Воронежская область,Овцеводство,Баранина,650.0,руб/кг
Воронежская область,Птицеводство,Яйца,9.0,руб/шт
Воронежская область,Пчеловодство,Мёд,450.0,руб/кг
Ивановская область,Молочное животноводство,Молоко,45.0,руб/л
Ивановская область,Молочное животноводство,Козье молоко,85.0,руб/л
Ивановская область,Мясное животноводство,Говядина,420.0,руб/кг
Ивановская область,Мясное животноводство,Свинина,290.0,руб/кг
Ивановская область,Птицеводство,Мясо птицы,220.0,руб/кг
Ивановская область,Овцеводство,Баранина,650.0,руб/кг
Ивановская область,Птицеводство,Яйца,9.0,руб/шт
Ивановская область,Пчеловодство,Мёд,450.0,руб/кг
Калужская область,Молочное животноводство,Молоко,45.0,руб/л
Калужская область,Молочное животноводство,Козье молоко,85.0,руб/л
Калужская область,Мясное животноводство,Говядина,420.0,руб/кг
Калужская область,Мясное животноводство,Свинина,290.0,руб/кг
